Date,Close
3/3/2015 16:00:00,34.1
3/4/2015 16:00:00,34.12
3/5/2015 16:00:00,33.73
3/6/2015 16:00:00,33.19
3/9/2015 16:00:00,32.72
3/10/2015 16:00:00,31.7
3/11/2015 16:00:00,32.33
3/12/2015 16:00:00,30.8
3/13/2015 16:00:00,30.93
3/16/2015 16:00:00,30.83
3/17/2015 16:00:00,30.59
3/18/2015 16:00:00,30.89
3/19/2015 16:00:00,30.74
3/20/2015 16:00:00,31.31
3/23/2015 16:00:00,31.2
3/24/2015 16:00:00,30.79
3/25/2015 16:00:00,29.89
3/26/2015 16:00:00,30.08
3/27/2015 16:00:00,32
3/30/2015 16:00:00,31.46
3/31/2015 16:00:00,31.27
4/1/2015 16:00:00,30.81
4/2/2015 16:00:00,30.81
4/6/2015 16:00:00,31.04
4/7/2015 16:00:00,31.26
4/8/2015 16:00:00,31.31
4/9/2015 16:00:00,31.24
4/10/2015 16:00:00,31.93
4/13/2015 16:00:00,31.73
4/14/2015 16:00:00,31.49
4/15/2015 16:00:00,32.83
4/16/2015 16:00:00,32.87
4/17/2015 16:00:00,32.47
4/20/2015 16:00:00,32.73
4/21/2015 16:00:00,32.43
4/22/2015 16:00:00,32.7
4/23/2015 16:00:00,32.35
4/24/2015 16:00:00,32.08
4/27/2015 16:00:00,32.5
4/28/2015 16:00:00,33.02
4/29/2015 16:00:00,32.89
4/30/2015 16:00:00,32.55
5/1/2015 16:00:00,33.42
5/4/2015 16:00:00,33.43
5/5/2015 16:00:00,32.64
5/6/2015 16:00:00,32.22
5/7/2015 16:00:00,32.24
5/8/2015 16:00:00,32.8
5/11/2015 16:00:00,32.69
5/12/2015 16:00:00,32.25
5/13/2015 16:00:00,32.64
5/14/2015 16:00:00,32.97
5/15/2015 16:00:00,32.99
5/18/2015 16:00:00,33.41
5/19/2015 16:00:00,33.15
5/20/2015 16:00:00,33.37
5/21/2015 16:00:00,33.55
5/22/2015 16:00:00,33.45
5/26/2015 16:00:00,33.1
5/27/2015 16:00:00,33.71
5/28/2015 16:00:00,34.01
5/29/2015 16:00:00,34.46
6/1/2015 16:00:00,33.91
6/2/2015 16:00:00,33.27
6/3/2015 16:00:00,32.73
6/4/2015 16:00:00,32.31
6/5/2015 16:00:00,31.84
6/8/2015 16:00:00,31.3
6/9/2015 16:00:00,31.25
6/10/2015 16:00:00,31.82
6/11/2015 16:00:00,31.85
6/12/2015 16:00:00,31.32
6/15/2015 16:00:00,31.39
6/16/2015 16:00:00,31.64
6/17/2015 16:00:00,31.95
6/18/2015 16:00:00,32.38
6/19/2015 16:00:00,32.07
6/22/2015 16:00:00,32.26
6/23/2015 16:00:00,32.09
6/24/2015 16:00:00,31.91
6/25/2015 16:00:00,31.99
6/26/2015 16:00:00,31.02
6/29/2015 16:00:00,30.39
6/30/2015 16:00:00,30.42
7/1/2015 16:00:00,30.18
7/2/2015 16:00:00,30.56
7/6/2015 16:00:00,30.04
7/7/2015 16:00:00,29.9
7/8/2015 16:00:00,29.5
7/9/2015 16:00:00,28.93
7/10/2015 16:00:00,29.17
7/13/2015 16:00:00,29.73
7/14/2015 16:00:00,29.65
7/15/2015 16:00:00,29.69
7/16/2015 16:00:00,29.9
7/17/2015 16:00:00,29.47
7/20/2015 16:00:00,29.1
7/21/2015 16:00:00,28.72
7/22/2015 16:00:00,28.61
7/23/2015 16:00:00,28.6
7/24/2015 16:00:00,28.06
7/27/2015 16:00:00,28.35
7/28/2015 16:00:00,28.96
7/29/2015 16:00:00,29.01
7/30/2015 16:00:00,28.91
7/31/2015 16:00:00,28.95
8/3/2015 16:00:00,29.05
8/4/2015 16:00:00,29.13
8/5/2015 16:00:00,29.12
8/6/2015 16:00:00,29.01
8/7/2015 16:00:00,28.88
8/10/2015 16:00:00,29.64
8/11/2015 16:00:00,28.97
8/12/2015 16:00:00,29.46
8/13/2015 16:00:00,28.87
8/14/2015 16:00:00,29.02
8/17/2015 16:00:00,29.08
8/18/2015 16:00:00,28.91
8/19/2015 16:00:00,28.36
8/20/2015 16:00:00,27.53
8/21/2015 16:00:00,26.56
8/24/2015 16:00:00,26.25
8/25/2015 16:00:00,25.87
8/26/2015 16:00:00,27.3
8/27/2015 16:00:00,27.72
8/28/2015 16:00:00,28.42
8/31/2015 16:00:00,28.54
9/1/2015 16:00:00,27.82
9/2/2015 16:00:00,28.6
9/3/2015 16:00:00,29.08
9/4/2015 16:00:00,28.52
9/8/2015 16:00:00,29.5
9/9/2015 16:00:00,29.24
9/10/2015 16:00:00,29.27
9/11/2015 16:00:00,29.47
9/14/2015 16:00:00,29.39
9/15/2015 16:00:00,29.73
9/16/2015 16:00:00,29.77
9/17/2015 16:00:00,29.71
9/18/2015 16:00:00,29.02
9/21/2015 16:00:00,29.16
9/22/2015 16:00:00,28.67
9/23/2015 16:00:00,28.74
9/24/2015 16:00:00,28.48
9/25/2015 16:00:00,28.81
9/28/2015 16:00:00,28.76
9/29/2015 16:00:00,29.24
9/30/2015 16:00:00,30.14
10/1/2015 16:00:00,30
10/2/2015 16:00:00,30.51
10/5/2015 16:00:00,31.21
10/6/2015 16:00:00,31.74
10/7/2015 16:00:00,32.32
10/8/2015 16:00:00,32.52
10/9/2015 16:00:00,32.14
10/12/2015 16:00:00,32.21
10/13/2015 16:00:00,32.04
10/14/2015 16:00:00,32.8
10/15/2015 16:00:00,32.75
10/16/2015 16:00:00,33.04
10/19/2015 16:00:00,33.59
10/20/2015 16:00:00,33.44
10/21/2015 16:00:00,33.37
10/22/2015 16:00:00,34.4
10/23/2015 16:00:00,34.9
10/26/2015 16:00:00,34.59
10/27/2015 16:00:00,34.47
10/28/2015 16:00:00,34.71
10/29/2015 16:00:00,34.03
10/30/2015 16:00:00,33.86
11/2/2015 16:00:00,34.11
11/3/2015 16:00:00,34.31
11/4/2015 16:00:00,34.15
11/5/2015 16:00:00,34
11/6/2015 16:00:00,33.84
11/9/2015 16:00:00,33.35
11/10/2015 16:00:00,33.21
11/11/2015 16:00:00,32.86
11/12/2015 16:00:00,32.4
11/13/2015 16:00:00,32.11
11/16/2015 16:00:00,32.1
11/17/2015 16:00:00,32.64
11/18/2015 16:00:00,33.16
11/19/2015 16:00:00,34.3
11/20/2015 16:00:00,34.66
11/23/2015 16:00:00,34.48
11/24/2015 16:00:00,34.36
11/25/2015 16:00:00,34.45
11/27/2015 16:00:00,34.46
11/30/2015 16:00:00,34.77
12/1/2015 16:00:00,35.09
12/2/2015 16:00:00,34.83
12/3/2015 16:00:00,34.04
12/4/2015 16:00:00,34.94
12/7/2015 16:00:00,34.99
12/8/2015 16:00:00,34.75
12/9/2015 16:00:00,34.81
12/10/2015 16:00:00,34.77
12/11/2015 16:00:00,34.27
12/14/2015 16:00:00,34.47
12/15/2015 16:00:00,35.18
12/16/2015 16:00:00,35.3
12/17/2015 16:00:00,34.91
12/18/2015 16:00:00,33.87
12/21/2015 16:00:00,34.24
12/22/2015 16:00:00,34.73
12/23/2015 16:00:00,35
12/24/2015 16:00:00,34.98
12/28/2015 16:00:00,34.93
12/29/2015 16:00:00,35.44
12/30/2015 16:00:00,34.99
12/31/2015 16:00:00,34.45
1/4/2016 16:00:00,33.99
1/5/2016 16:00:00,33.83
1/6/2016 16:00:00,33.08
1/7/2016 16:00:00,31.84
1/8/2016 16:00:00,31.51
1/11/2016 16:00:00,32.06
1/12/2016 16:00:00,32.68
1/13/2016 16:00:00,31.91
1/14/2016 16:00:00,32.74
1/15/2016 16:00:00,29.76
1/19/2016 16:00:00,29.8
1/20/2016 16:00:00,29.59
1/21/2016 16:00:00,29.66
1/22/2016 16:00:00,29.93
1/25/2016 16:00:00,29.6
1/26/2016 16:00:00,29.94
1/27/2016 16:00:00,29.81
1/28/2016 16:00:00,29.97
1/29/2016 16:00:00,31.02
2/1/2016 16:00:00,30.82
2/2/2016 16:00:00,29.8
2/3/2016 16:00:00,29.34
2/4/2016 16:00:00,29.77
2/5/2016 16:00:00,29.04
2/8/2016 16:00:00,28.82
2/9/2016 16:00:00,28.81
2/10/2016 16:00:00,28.23
2/11/2016 16:00:00,28.22
2/12/2016 16:00:00,28.64
2/16/2016 16:00:00,28.78
2/17/2016 16:00:00,29.47
2/18/2016 16:00:00,29.42
2/19/2016 16:00:00,28.71
